               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.019445,            0.011279,           0.0088895,             0.64284,             0.77383,             0.75914,             0.56239,            0.014829,           0.0040958,            0.017131,           0.0062875,           0.0062875,           0.0062875
                  77,            0.018709,            0.011157,           0.0095911,                0.75,             0.68036,             0.74873,             0.55182,            0.014076,            0.004145,            0.016898,            0.006238,            0.006238,            0.006238
                  78,            0.017707,            0.011294,           0.0079868,             0.70588,             0.71568,             0.77148,              0.5747,            0.013567,           0.0040337,             0.01574,           0.0061885,           0.0061885,           0.0061885
                  79,            0.020205,            0.011307,           0.0085028,             0.66989,             0.76843,             0.76934,             0.55892,            0.014917,           0.0043211,            0.018029,            0.006139,            0.006139,            0.006139
                  80,            0.018956,            0.011473,            0.011229,             0.68982,             0.75733,             0.78378,             0.57268,            0.015035,           0.0042121,            0.021193,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019889,            0.011811,            0.011349,             0.68895,             0.60722,             0.69865,             0.51384,             0.01589,           0.0042425,            0.025164,             0.00604,             0.00604,             0.00604
                  82,            0.020507,            0.011548,            0.011217,             0.74649,             0.63241,             0.71783,             0.52348,            0.016213,           0.0041886,            0.025102,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019977,            0.011217,            0.009801,             0.65618,             0.73228,             0.72299,             0.53497,            0.014658,           0.0040241,            0.021442,            0.005941,            0.005941,            0.005941
                  84,            0.018158,            0.011352,           0.0097841,             0.64418,             0.76462,             0.76553,             0.57094,            0.014424,           0.0041311,            0.014727,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020643,            0.011195,           0.0089332,             0.72365,             0.72336,             0.76674,             0.57306,            0.014262,           0.0041928,            0.017682,            0.005842,            0.005842,            0.005842
                  86,            0.019497,            0.011293,           0.0091365,             0.78154,             0.70132,             0.78911,             0.59614,            0.014302,           0.0039627,            0.016204,           0.0057925,           0.0057925,           0.0057925
                  87,            0.018185,            0.011138,           0.0084329,             0.79436,             0.72172,             0.81034,             0.59991,            0.014353,           0.0040792,            0.017458,            0.005743,            0.005743,            0.005743
                  88,            0.017995,            0.011123,           0.0077719,              0.7472,             0.73178,             0.79996,             0.59692,            0.014619,           0.0040166,            0.017122,           0.0056935,           0.0056935,           0.0056935
                  89,            0.017569,            0.010668,           0.0080701,             0.69369,             0.85391,              0.8181,             0.61376,            0.014325,           0.0038568,            0.012215,            0.005644,            0.005644,            0.005644
                  90,            0.018304,            0.010929,           0.0096871,             0.74176,               0.654,             0.72165,             0.53616,             0.01529,           0.0042464,            0.023316,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017597,            0.010936,           0.0092169,             0.71829,             0.78632,             0.78759,             0.58368,            0.013958,           0.0039259,            0.020297,            0.005545,            0.005545,            0.005545
                  92,            0.020466,             0.01094,           0.0090632,             0.77451,             0.76305,             0.80441,             0.60806,            0.014657,           0.0040378,             0.01629,           0.0054955,           0.0054955,           0.0054955
                  93,            0.018191,            0.010786,           0.0082897,             0.81043,             0.69555,             0.80905,              0.5857,            0.014681,           0.0041684,            0.018782,            0.005446,            0.005446,            0.005446
                  94,            0.017833,            0.011091,           0.0091906,             0.74607,             0.77108,             0.79551,             0.60189,            0.014997,           0.0038941,             0.01654,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018919,            0.010868,           0.0086809,             0.71856,             0.72943,             0.77627,             0.57996,            0.014712,           0.0039448,            0.016969,            0.005347,            0.005347,            0.005347
                  96,            0.018517,            0.011021,           0.0079906,             0.68462,             0.77976,              0.7982,               0.598,            0.014464,           0.0040412,            0.016334,           0.0052975,           0.0052975,           0.0052975
                  97,               0.018,            0.010928,           0.0072152,             0.72942,             0.78234,             0.78675,             0.59165,            0.014028,           0.0038945,            0.015155,            0.005248,            0.005248,            0.005248
                  98,            0.018029,            0.010876,           0.0085656,             0.83285,             0.74727,             0.83507,             0.62269,            0.013542,            0.004067,            0.014334,           0.0051985,           0.0051985,           0.0051985
                  99,            0.018678,            0.010687,           0.0072067,             0.76442,             0.78656,             0.81708,             0.61646,             0.01469,           0.0039608,            0.018633,            0.005149,            0.005149,            0.005149
                 100,            0.019877,            0.011022,           0.0078155,             0.74776,             0.80016,             0.80527,             0.60145,            0.014116,           0.0039791,            0.016994,           0.0050995,           0.0050995,           0.0050995
                 101,            0.018884,            0.010794,           0.0082206,             0.66126,              0.8181,             0.74576,             0.56425,            0.014241,           0.0040129,            0.023286,             0.00505,             0.00505,             0.00505
                 102,            0.017881,             0.01082,            0.010041,             0.58635,             0.71088,             0.68283,             0.49282,            0.016446,           0.0044292,            0.022634,           0.0050005,           0.0050005,           0.0050005
                 103,            0.017944,            0.010858,           0.0098188,             0.71504,             0.72248,             0.74288,             0.55485,             0.01464,           0.0040506,            0.015728,            0.004951,            0.004951,            0.004951
                 104,            0.017132,            0.010975,           0.0083719,             0.76738,             0.79175,             0.82209,             0.61828,            0.014009,           0.0039764,            0.014748,           0.0049015,           0.0049015,           0.0049015
                 105,            0.018407,             0.01099,           0.0079272,             0.74293,             0.74585,             0.79634,             0.59748,             0.01398,           0.0038867,            0.018992,            0.004852,            0.004852,            0.004852
                 106,            0.017798,            0.010651,           0.0071118,             0.74805,             0.80487,             0.84716,             0.63815,            0.014189,           0.0038518,            0.016503,           0.0048025,           0.0048025,           0.0048025
                 107,            0.017708,            0.010539,           0.0069418,             0.74204,              0.8162,             0.84291,             0.62996,            0.014552,            0.003916,            0.016809,            0.004753,            0.004753,            0.004753
                 108,            0.017503,            0.010597,           0.0070573,               0.726,             0.79108,             0.81441,             0.60819,            0.014592,           0.0039337,             0.01975,           0.0047035,           0.0047035,           0.0047035
                 109,            0.017953,            0.010598,           0.0081596,             0.65577,             0.75491,             0.75539,             0.54797,            0.015327,            0.004102,            0.021522,            0.004654,            0.004654,            0.004654
                 110,            0.016219,            0.010398,           0.0071314,             0.79609,             0.74611,             0.81692,             0.61557,            0.014649,            0.003976,            0.019323,           0.0046045,           0.0046045,           0.0046045
                 111,            0.017342,            0.010655,           0.0066575,             0.77458,              0.7787,             0.83917,             0.62908,            0.014599,           0.0038403,            0.018516,            0.004555,            0.004555,            0.004555
                 112,             0.01713,            0.010703,           0.0072687,             0.89979,              0.7569,             0.88948,              0.6806,            0.014504,           0.0038317,            0.015397,           0.0045055,           0.0045055,           0.0045055
                 113,            0.017941,            0.010794,           0.0064085,             0.76928,             0.76627,             0.81476,             0.61652,            0.014722,           0.0040689,            0.017845,            0.004456,            0.004456,            0.004456
                 114,            0.016963,            0.010393,           0.0057391,              0.8024,             0.74444,             0.83742,              0.6392,            0.014103,           0.0037518,            0.016368,           0.0044065,           0.0044065,           0.0044065
                 115,            0.017239,            0.010414,           0.0070921,             0.68586,             0.83754,             0.80931,             0.60993,            0.014088,           0.0037855,            0.017998,            0.004357,            0.004357,            0.004357
                 116,            0.016641,            0.010534,           0.0071919,             0.76994,             0.73528,             0.80854,             0.59347,            0.015416,           0.0041928,            0.021556,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015894,             0.01058,           0.0067708,             0.74478,             0.74895,             0.78685,             0.60089,            0.014297,           0.0039266,            0.016293,            0.004258,            0.004258,            0.004258
                 118,            0.016812,            0.010492,           0.0076997,             0.77018,             0.77229,             0.81792,             0.61927,            0.014837,           0.0037873,            0.021897,           0.0042085,           0.0042085,           0.0042085
                 119,            0.018366,            0.010408,           0.0069114,             0.75566,             0.75776,             0.79674,             0.60323,            0.014698,           0.0038947,             0.01997,            0.004159,            0.004159,            0.004159
